City,Cuisine,Name,Star,Comments,PCC,Taste,Envir,Service
东莞,咖啡厅,帕帕罗蒂(万科城市广场店),中等,1,44.5以下,7.6,7.6,7.6
东莞,咖啡厅,臻爱咖啡,中等,1,44.5以下,7.7,7.7,7.7
东莞,其他,西贝莜面村(东莞壹号广场店),中等,1,44.5-96.5,8.1,8.6,9
东莞,其他,汝是素(壹号广场店),中等,1,44.5-96.5,8,8.7,7.6
东莞,其他,圣高餐吧(南城店)分店,中等,2,44.5-96.5,7.8,8.7,8
东莞,其他,小云云南餐厅,中等,1,44.5以下,7.9,8,7.9
东莞,其他,ROHS璐斯音乐餐吧(鸿福店),中等,1,96.5-208,7.5,8.3,7.6
东莞,其他,十三羊蒙古羊排店(虎门国际购物...,中等,1,44.5-96.5,8.2,8.1,8.1
东莞,其他,圣高餐吧(汇峰店)分店,中等,2,44.5-96.5,7.6,8.1,8
东莞,其他,九毛九山西面馆(东城万达店),中等,1,44.5-96.5,8,8.2,8
东莞,其他,南栖(大朗店),中等,1,44.5-96.5,7.7,7.9,7.4
东莞,其他,九毛九山西面馆(凯德广场东莞店)分店,中等,1,44.5-96.5,8.1,8.3,8.4
东莞,其他,驼铃印象新疆主题餐厅(万达店),中等,1,44.5-96.5,7.7,7.9,7.4
东莞,其他,山东老家(愉景分店)分店,中等,1,44.5-96.5,7.6,7.9,7.6
东莞,其他,Hey Your Salad(沙拉),中等,1,44.5以下,8.1,7.9,7.7
东莞,其他,山东老家(怡丰分店)分店,中等,1,44.5-96.5,7.6,7.8,7.7
东莞,其他,嘉荣超市(银丰店)分店,中等,1,208以上,8,7.9,7.8
东莞,其他,伊犁之春(酒吧街店)分店,中等,1,44.5-96.5,7.6,7.7,7.5
东莞,其他,南栖(凯德广场东莞店),中等,1,44.5-96.5,7.6,7.8,7.6
东莞,其他,胖哥俩肉蟹煲(厚街万达店),中等,1,44.5-96.5,7.9,8.4,8.3
东莞,其他,PHO19越面馆(石龙店),中等,1,44.5以下,7.9,7.8,7.8
东莞,其他,大岗仙庙烧鸡(麻涌店),中等,1,44.5以下,7.9,7.2,7.1
东莞,其他,山东老家(富民分店)分店,中等,1,44.5-96.5,7.8,7.9,7.8
东莞,其他,搅饺震,中等,1,44.5以下,7.8,7.8,7.8
东莞,其他,中国兰州拉面,中等,1,44.5以下,7.7,7.7,7.7
东莞,其他,来来永和豆浆(桥头店),中等,1,44.5以下,7.8,7.8,7.8
